Date ,Symbol ,Client Name ,Net Quantity
2023-01-16,AARVEEDEN,PANCHOLI GUNJAN,0
2023-01-16,GLOBE,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,0
2023-01-16,GLOBE,NEERAJ YADAV,0
2023-01-16,HOMESFY,BHAVESHKUMAR NATVARLAL SHETH,0
2023-01-16,HOMESFY,NIKUNJ KAUSHIK SHAH,0
2023-01-16,SIGACHI,GROW WELL INVESTMENTS,0
2023-01-16,SIGACHI,SHARE INDIA SECURITIES LIMITED,0
2023-01-16,SULA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-16,TRACXN,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-17,ATALREAL,OPTUME INVESTMENTS,0
2023-01-17,MAANALU,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-17,ORIENTLTD,AMIT KUMAR JAIN HUF,0
2023-01-17,PREMIERPOL,VEENA RAJESH SHAH,0
2023-01-17,SPECIALITY,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-17,SULA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-17,TRACXN,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-17,VASA,CHETNA HITESH MEHTA,0
2023-01-17,VASA,HITESH RAMNIKLAL MEHTA,0
2023-01-18,3PLAND,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,0
2023-01-18,ATULAUTO,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-18,JTLIND,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-18,KSHITIJPOL,BHAVESHKUMAR NATVARLAL SHETH,0
2023-01-18,KSHITIJPOL,TANGO COMMOSALES LLP,0
2023-01-18,LAXMICOT,CHETAN RASIKLAL SHAH,0
2023-01-18,MAANALU,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-18,ORTINLAB,PANCHOLI GUNJAN,0
2023-01-18,SULA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-18,TVSELECT,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,0
2023-01-18,TVSELECT,NK SECURITIES RESEARCH PRIVATE LIMITED,0
2023-01-19,ALPA,CHETAN RASIKLAL SHAH,0
2023-01-19,ALPA,MUDUPULAVEMULA SURENDRANADHA REDDY,0
2023-01-19,ALPA,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,0
2023-01-19,ALPA,NK SECURITIES RESEARCH PRIVATE LIMITED,0
2023-01-19,ALPA,PURVISH MUKESH SHAH,0
2023-01-19,ALPA,VEENA RAJESH SHAH,0
2023-01-19,ATULAUTO,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-19,HEADSUP,TWO ROADS TRADING PRIVATE LIMITED,0
2023-01-19,HISARMETAL,QE SECURITIES,0
2023-01-19,KOHINOOR,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-19,KOHINOOR,MUDUPULAVEMULA SURENDRANADHA REDDY,0
2023-01-19,KOHINOOR,NK SECURITIES RESEARCH PRIVATE LIMITED,0
2023-01-19,KOHINOOR,XTX MARKETS LLP,0
2023-01-19,KSHITIJPOL,TANGO COMMOSALES LLP,0
2023-01-19,MOLDTECH,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-19,SALSTEEL,VEENA RAJESH SHAH,0
2023-01-19,SULA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,ATULAUTO,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,BRIGHT,HEMANTH KUMAR MAHAVEER JAIN,0
2023-01-20,BRIGHT,PRADEEP KUMAR,0
2023-01-20,BRIGHT,RAJEEV S MAHESHWARI HUF,0
2023-01-20,HARIOMPIPE,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,HERITGFOOD,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,HISARMETAL,ANKITA VISHAL SHAH,0
2023-01-20,HISARMETAL,QE SECURITIES,0
2023-01-20,HITECH,NISHCHAYA TRADINGS PRIVATE LIMITED,0
2023-01-20,HITECH,SAWARNBHUMI VANIJYA PRIVATE LIMITED,0
2023-01-20,JETFREIGHT,PRABHULAL LALLUBHAI PAREKH,0
2023-01-20,JETFREIGHT,SAHITAY COMMOSALES LLP,0
2023-01-20,KOHINOOR,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,KOHINOOR,XTX MARKETS LLP,0
2023-01-20,NURECA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,NURECA,HITESH FATNANI,0
2023-01-20,STERTOOLS,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,TRIL,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-20,VASWANI,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-23,CHEMBOND,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-23,HARIOMPIPE,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-23,HISARMETAL,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-23,NURECA,CHIRAG NAVINCHANDRA KOTHARI,0
2023-01-23,NURECA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-23,NURECA,HITESH FATNANI,0
2023-01-23,NURECA,INDRA KIRAN VENTURES,0
2023-01-23,NURECA,MUDUPULAVEMULA SURENDRANADHA REDDY,0
2023-01-23,NURECA,NAMAN SECURITIES & FINANCE PVT LTD,0
2023-01-23,NURECA,NK SECURITIES RESEARCH PRIVATE LIMITED,0
2023-01-23,NURECA,PACE STOCK BROKING SERVICES PVT LTD,0
2023-01-23,NURECA,SIGMAQUANT TECHNOLOGIES PRIVATE LIMITED .,0
2023-01-23,NURECA,SKSE SECURITIES LTD,0
2023-01-23,ORTINLAB,NK SECURITIES RESEARCH PRIVATE LIMITED,0
2023-01-23,SVPGLOB,VIGNESH,0
2023-01-24,BANARBEADS,PANCHOLI GUNJAN,0
2023-01-24,GSTL,VEENA RAJESH SHAH,0
2023-01-24,JETFREIGHT,PRABHULAL LALLUBHAI PAREKH,0
2023-01-24,MARSHALL,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED .,0
2023-01-24,NITIRAJ,RAJESH KOLEKAR HUF,0
2023-01-24,NURECA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-24,NURECA,NK SECURITIES RESEARCH PRIVATE LIMITED,0
2023-01-24,ROUTE,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-24,SABAR,PUNEET MITTAL HUF,0
2023-01-24,TIRUPATIFL,SKA SECURITIES AND FINANCIAL SERVICES PRIVATE LTD,0
2023-01-25,GOYALALUM,NIRAJ RAJNIKANT SHAH,0
2023-01-25,GSTL,VEENA RAJESH SHAH,0
2023-01-25,JETFREIGHT,JILESH NAVIN CHHEDA,0
2023-01-25,KOHINOOR,NK SECURITIES RESEARCH PRIVATE LIMITED,0
2023-01-25,NURECA,GRAVITON RESEARCH CAPITAL LLP,0
2023-01-27,NURECA,GRAVITON RESEARCH CAPITAL LLP,0
